Name,Position,Rushes,EPA/Rush,Total EPA,Rush Yards,Rush TD,Yards Per carry,Yards After Contact,TFL %,Explosive %,First Down %,Team,G,GS,1D,Y/G
Darrynton Evans,RB,3,-0.43,-1.29,3,0,1.0,1.33,33.30%,0%,0%,CHI,4,0,0,0.8
George Holani,RB,3,-0.26,-0.77,10,0,3.33,1.33,33.30%,0%,33.30%,SEA,4,0,1,2.5
Chris Collier,RB,3,,,6,0,2.0,,null%,null%,null%,LVR,2,0,0,3.0
Myles Gaskin,RB,3,-0.75,-2.24,-1,0,-0.33,1.33,33.30%,0%,0%,MIN,5,0,0,-0.2
Tucker Kraft,TE,3,1.09,3.26,6,0,2.0,0.67,0%,0%,100%,GNB,16,16,3,0.4
Mark Andrews,TE,3,1.52,4.57,5,0,1.67,1.0,0%,0%,100%,BAL,16,12,3,0.3
Demario Douglas,WR,3,0.25,0.74,16,0,5.33,3.0,0%,0%,0%,NWE,16,7,0,1.0
Jordan Addison,WR,3,0.91,2.73,20,1,6.67,3.67,0%,0%,33.30%,MIN,14,14,1,1.4
Jalen Nailor,WR,3,-1.02,-3.07,-4,0,-1.33,2.0,33.30%,0%,33.30%,MIN,16,7,1,-0.3
Jaylen Waddle,WR,3,-0.28,-0.83,6,0,2.0,0.67,33.30%,0%,0%,MIA,14,14,0,0.4
Jalen Reagor,WR,3,-0.78,-2.34,-3,0,-1.0,1.0,66.70%,0%,0%,LAC,8,2,0,-0.4
Rome Odunze,WR,3,0.19,0.58,15,0,5.0,5.67,0%,0%,33.30%,CHI,16,11,1,0.9
Quentin Johnston,WR,3,-0.27,-0.81,6,0,2.0,2.67,0%,0%,0%,LAC,14,10,0,0.4
Ricky Pearsall,WR,3,0.98,2.94,45,0,15.0,0.33,0%,33.30%,33.30%,SFO,10,3,1,4.5
Stefon Diggs,WR,3,0.21,0.63,8,1,2.67,1.0,33.30%,0%,33.30%,HOU,8,8,1,1.0
Wan'Dale Robinson,WR,3,-0.89,-2.68,18,0,6.0,6.67,0%,33.30%,33.30%,NYG,16,7,1,1.1
Jalen McMillan,WR,3,1.15,3.45,37,0,12.33,3.67,0%,66.70%,66.70%,TAM,12,11,3,3.1
Ja'Marr Chase,WR,3,0.67,2.02,32,0,10.67,2.33,0%,66.70%,66.70%,CIN,16,15,2,2.0
Tyreik McAllister,RB,2,-0.01,-0.02,11,0,5.5,3.0,0%,0%,50%,LVR,3,0,1,3.7
