Name,Team,Pos,G,GS,Att,Yds,TD,1D,Succ%,Y/A,Y/G
Travis Kelce,KAN,TE,16,16,1,1,0,0,100.0,1.0,0.1
Charlie Kolar,BAL,TE,12,3,1,2,0,1,100.0,2.0,0.2
Dylan Laube,LVR,RB,9,0,1,0,0,0,0.0,0.0,0.0
Drake London,ATL,WR,16,16,1,-3,0,0,0.0,-3.0,-0.2
Julian Love,SEA,FS,16,16,1,2,0,1,100.0,2.0,0.1
Trey McBride,ARI,TE,15,15,1,2,1,1,100.0,2.0,0.1
David Moore,CAR,WR,16,5,1,0,0,0,0.0,0.0,0.0
Elijah Moore,CLE,WR,16,12,1,1,0,0,0.0,1.0,0.1
Chigoziem Okonkwo,TEN,TE,16,10,1,17,0,1,100.0,17.0,1.1
Chris Olave,NOR,WR,8,8,1,7,0,1,100.0,7.0,0.9
Cade Otton,TAM,TE,14,14,1,-4,0,0,0.0,-4.0,-0.3
Dell Pettus,NWE,S,16,1,1,2,0,1,100.0,2.0,0.1
Ja'Lynn Polk,NWE,WR,15,7,1,0,0,0,0.0,0.0,0.0
Jalen Reeves-Maybin,DET,LB,9,0,1,1,0,0,0.0,1.0,0.1
Rashee Rice,KAN,WR,4,4,1,1,0,1,100.0,1.0,0.3
Drew Sample,CIN,TE,16,14,1,-4,0,0,0.0,-4.0,-0.3
JK Scott,LAC,P,16,0,1,0,0,0,0.0,0.0,0.0
Laviska Shenault Jr.,SEA,WR,11,1,1,1,0,0,0.0,1.0,0.1
Steven Sims,HOU,WR,7,0,1,0,0,0,0.0,0.0,0.0
Ainias Smith,PHI,WR,6,1,1,2,0,0,0.0,2.0,0.3
DeVonta Smith,PHI,WR,13,13,1,1,0,0,0.0,1.0,0.1
Tavierre Thomas,TAM,CB,16,0,1,-2,0,0,0.0,-2.0,-0.1
Skylar Thompson,MIA,QB,3,1,1,4,0,0,0.0,4.0,1.3
Cedric Tillman,CLE,WR,11,6,1,-5,0,0,0.0,-5.0,-0.5
Marquez Valdes-Scantling,2TM,WR,13,7,1,4,0,0,0.0,4.0,0.3
Marquez Valdes-Scantling,BUF,WR,6,0,0,0,0,0,,,0.0
Marquez Valdes-Scantling,NOR,WR,7,7,1,4,0,0,0.0,4.0,0.6
Garrett Wilson,NYJ,WR,16,16,1,5,0,1,100.0,5.0,0.3
Michael Wilson,ARI,WR,16,13,1,7,0,0,0.0,7.0,0.4
Olamide Zaccheaus,WAS,WR,16,5,1,8,0,1,100.0,8.0,0.5
Davante Adams,2TM,WR,13,13,0,0,0,0,,,0.0
Davante Adams,LVR,WR,3,3,0,0,0,0,,,0.0
Davante Adams,NYJ,WR,10,10,0,0,0,0,,,0.0
Nate Adkins,DEN,TE,16,9,0,0,0,0,,,0.0
Nelson Agholor,BAL,WR,14,7,0,0,0,0,,,0.0
Brandon Aiyuk,SFO,WR,7,7,0,0,0,0,,,0.0
Jordan Akins,CLE,TE,16,5,0,0,0,0,,,0.0
Mo Alie-Cox,IND,TE,16,13,0,0,0,0,,,0.0
Erick All,CIN,TE,9,6,0,0,0,0,,,0.0
Davis Allen,LAR,TE,14,5,0,0,0,0,,,0.0
Keenan Allen,CHI,WR,14,14,0,0,0,0,,,0.0
Calvin Austin III,PIT,WR,16,7,0,0,0,0,,,0.0
Alex Bachman,LVR,WR,6,1,0,0,0,0,,,0.0
Javon Baker,NWE,WR,10,1,0,0,0,0,,,0.0
AJ Barner,SEA,TE,16,6,0,0,0,0,,,0.0
